LLAVE,MUNICIPIO,T15ymas,EstisiPEA,RECMPEA,EstisiOCU,RECMOCU,EstisiINF,RECMINF,PEA,NO_PEA,OCUPADOS,DESOCUPADOS,FORMALES,INFORMALES
01001,Aguascalientes,647112.00504881,0.59926931,0.00655700,0.57659786,0.00641911,0.22917465,0.00670995,387794.36176219,259317.64328663,373123.39808673,14670.96367546,224821.73357927,148301.66450746
01002,Asientos,35384.21635182,0.55185681,0.01209460,0.53327504,0.01113909,0.37614586,0.01011733,19527.02083305,15857.19551877,18869.51927308,657.50155997,5559.89262073,13309.62665236
01003,Calvillo,42099.41831304,0.55701199,0.01440878,0.54740211,0.01467262,0.38242449,0.01117757,23449.88085399,18649.53745905,23045.31033515,404.57051884,6945.46157920,16099.84875595
01004,Cosío,11747.33645646,0.57258677,0.01780844,0.55898118,0.01851615,0.30607396,0.01826972,6726.36946968,5020.96698677,6566.54001396,159.82945573,2970.98622975,3595.55378421
01005,Jesús María,80831.68546053,0.60338026,0.01211489,0.58369449,0.01162366,0.27308756,0.01044433,48772.24335530,32059.44210523,47181.00920457,1591.23415073,25106.88116630,22074.12803826
01006,Pabellón de Arteaga,32320.42616061,0.57384740,0.01369970,0.55346225,0.01205471,0.29781808,0.01013407,18546.99238829,13773.43377232,17888.13580747,658.85658082,8262.52844773,9625.60735974
01007,Rincón de Romos,37851.21482126,0.57404623,0.01306719,0.55812073,0.01265233,0.33223121,0.01046638,21728.34711062,16122.86771065,21125.54778685,602.79932377,8550.19272820,12575.35505865
01008,San José de Gracia,6590.54025541,0.55823396,0.01640069,0.54788573,0.01571444,0.37669487,0.01412826,3679.06336019,2911.47689522,3610.86297972,68.20038047,1128.24029282,2482.62268689
01009,Tepezalá,15410.51208730,0.55157289,0.01444660,0.54102613,0.01425468,0.37044518,0.01059556,8500.02064866,6910.49143864,8337.48969180,162.53095685,2628.73972058,5708.74997122
01010,El Llano,14729.16520737,0.56468763,0.01331231,0.54689458,0.01212261,0.34806591,0.01321747,8317.37740958,6411.78779778,8055.30057124,262.07683834,2928.58021108,5126.72036016
01011,San Francisco de los Romo,28963.08768688,0.60632190,0.01529016,0.58744679,0.01450404,0.24716159,0.00946749,17560.95438090,11402.13330598,17014.27284728,546.68153362,9855.71015058,7158.56269670
02001,Ensenada,400754.29053340,0.62315677,0.01220171,0.60600274,0.01187299,0.29963946,0.00985397,249732.74852278,151021.54201063,242858.19680726,6874.55171552,122776.39878424,120081.79802302
02002,Mexicali,795883.65212792,0.63183507,0.00893019,0.61429933,0.00888366,0.26831784,0.00960915,502867.20125937,293016.45086855,488910.79212071,13956.40913865,275361.01355208,213549.77856864
02003,Tecate,85819.57013643,0.64159937,0.01398359,0.62158122,0.01315343,0.28293080,0.01034939,55061.78215718,30757.78797925,53343.83284001,1717.94931718,29062.83336990,24280.99947010
02004,Tijuana,1323079.77704690,0.62081595,0.00695523,0.60681666,0.00684939,0.23916500,0.00624814,821389.03109884,501690.74594807,802866.84754292,18522.18355591,486432.47911862,316434.36842430
02005,Playas de Rosarito,81875.58488278,0.61595096,0.01455854,0.60108220,0.01411500,0.35690771,0.01179651,50431.34536632,31444.23951646,49213.95656485,1217.38880147,19991.92918601,29222.02737884
03001,Comondú,62985.63633466,0.62262719,0.01330798,0.59743505,0.01295159,0.28722200,0.01268280,39216.56959267,23769.06674200,37629.82665686,1586.74293580,19538.96601622,18090.86064064
03002,Mulegé,52318.72298240,0.63999221,0.01405345,0.61909893,0.01401814,0.25907105,0.01176150,33483.57530402,18835.14767838,32390.46533579,1093.10996823,18836.19890453,13554.26643126
03003,La Paz,231802.52857932,0.62232642,0.00784391,0.59985070,0.00771030,0.24563830,0.00762108,144256.83818100,87545.69039832,139046.90811651,5209.93006449,82107.32960787,56939.57850864
03008,Los Cabos,239429.87727610,0.69395942,0.00939667,0.66893036,0.00906648,0.27183973,0.00986075,166154.61953287,73275.25774323,160161.91304609,5992.70648678,95075.35882988,65086.55421620
03009,Loreto,16944.99494564,0.64093911,0.01574726,0.61702798,0.01504656,0.27342614,0.01335208,10860.70992216,6084.28502347,10455.53602047,405.17390170,5822.33141770,4633.20460277
